Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 2,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 3,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 1, TS: 5,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
Metodo 1 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 1, TS: 1,  TPR: 0.00%, FPR: 0.00%, ACC: 83.50%
