Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 44.28%, FPR: 0.93%, ACC: 93.06%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 36.68%, FPR: 0.46%, ACC: 92.64%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 30.30%, FPR: 0.25%, ACC: 92.13%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 43.51%, FPR: 0.87%, ACC: 93.03%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 35.99%, FPR: 0.44%, ACC: 92.59%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 29.64%, FPR: 0.23%, ACC: 92.07%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 43.37%, FPR: 0.86%, ACC: 93.02%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 35.87%, FPR: 0.43%, ACC: 92.58%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 29.49%, FPR: 0.23%, ACC: 92.06%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 42.88%, FPR: 0.82%, ACC: 93.00%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 35.24%, FPR: 0.41%, ACC: 92.53%
Metodo 9 -> Tamanho 3, Jan: 3x3, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 28.96%, FPR: 0.22%, ACC: 92.01%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 41.25%, FPR: 0.67%, ACC: 92.95%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 33.43%, FPR: 0.33%, ACC: 92.40%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 27.42%, FPR: 0.18%, ACC: 91.88%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 3,  TPR: 34.27%, FPR: 0.35%, ACC: 92.48%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 4,  TPR: 26.56%, FPR: 0.17%, ACC: 91.79%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 2x2, BH: 2, TS: 5,  TPR: 20.39%, FPR: 0.08%, ACC: 91.19%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 3,  TPR: 32.58%, FPR: 0.30%, ACC: 92.33%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 4,  TPR: 25.00%, FPR: 0.15%, ACC: 91.64%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 3x3, BH: 2, TS: 5,  TPR: 18.97%, FPR: 0.07%, ACC: 91.05%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 3,  TPR: 31.67%, FPR: 0.28%, ACC: 92.25%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 4,  TPR: 24.01%, FPR: 0.13%, ACC: 91.55%
Metodo 9 -> Tamanho 3, Jan: 5x5, Val(x,y): 4x4, BH: 2, TS: 5,  TPR: 17.98%, FPR: 0.06%, ACC: 90.94%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 3,  TPR: 40.57%, FPR: 0.63%, ACC: 92.92%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 4,  TPR: 32.86%, FPR: 0.31%, ACC: 92.36%
Metodo 9 -> Tamanho 3, Jan: 7x7, Val(x,y): 1x1, BH: 2, TS: 5,  TPR: 26.84%, FPR: 0.16%, ACC: 91.83%
