        |                                Referencia 1                                |
 Imagem |  SN(TPR) |  SP(TNR) |   FPR    |   FNR    |   PPV    |   NPV    |   ACC    |
   01   |  39.31%  |  97.73%  |  02.27%  |  60.69%  |  63.82%  |  94.05%  |  92.33%  |
   02   |  25.06%  |  98.58%  |  01.42%  |  74.94%  |  50.86%  |  95.72%  |  94.49%  |
   03   |  59.84%  |  94.50%  |  05.50%  |  40.16%  |  39.93%  |  97.47%  |  92.50%  |
   04   |  12.24%  |  99.75%  |  00.25%  |  87.76%  |  79.39%  |  93.59%  |  93.43%  |
   05   |  53.89%  |  95.62%  |  04.38%  |  46.11%  |  59.06%  |  94.64%  |  91.23%  |
   06   |  51.82%  |  96.68%  |  03.32%  |  48.18%  |  66.79%  |  93.96%  |  91.55%  |
   07   |  58.18%  |  96.43%  |  03.57%  |  41.82%  |  70.89%  |  93.92%  |  91.46%  |
   08   |  51.27%  |  97.65%  |  02.35%  |  48.73%  |  77.68%  |  92.64%  |  91.28%  |
   09   |  57.57%  |  96.48%  |  03.52%  |  42.43%  |  69.54%  |  94.21%  |  91.71%  |
   10   |  45.25%  |  97.96%  |  02.04%  |  54.75%  |  79.98%  |  90.84%  |  89.90%  |
   11   |  47.66%  |  97.32%  |  02.68%  |  52.34%  |  69.72%  |  93.50%  |  91.63%  |
   12   |  67.71%  |  96.74%  |  03.26%  |  32.29%  |  73.14%  |  95.81%  |  93.37%  |
   13   |  52.00%  |  98.23%  |  01.77%  |  48.00%  |  82.87%  |  92.57%  |  91.71%  |
   14   |  55.24%  |  98.09%  |  01.91%  |  44.76%  |  81.58%  |  93.47%  |  92.40%  |
   15   |  47.28%  |  98.78%  |  01.22%  |  52.72%  |  84.78%  |  92.90%  |  92.33%  |
   16   |  30.85%  |  99.47%  |  00.53%  |  69.15%  |  91.31%  |  88.88%  |  89.01%  |
   17   |  50.17%  |  97.81%  |  02.19%  |  49.83%  |  77.53%  |  92.86%  |  91.56%  |
   18   |  22.83%  |  99.55%  |  00.45%  |  77.17%  |  76.80%  |  95.15%  |  94.81%  |
   19   |  25.18%  |  99.65%  |  00.35%  |  74.82%  |  82.82%  |  95.21%  |  94.98%  |
   20   |  33.58%  |  99.31%  |  00.69%  |  66.42%  |  84.42%  |  93.11%  |  92.76%  |
-------------------------------------------------------------------------------------|
 Tot(%) |  46.72%  |  97.82%  |  02.18%  |  53.28%  |  72.58%  |  93.71%  |  92.22%  |



           |  SN(TPR) |  SP(TNR) |   FPR    |   FNR    |   PPV    |   NPV    |   ACC    |
 Geral(%)  |  46.72%  |  97.82%  |  02.18%  |  53.28%  |  72.58%  |  93.71%  |  92.22%  |



                                   Referencia 1                        |
 Imagem |   TP   |   TN   |   FP   |   FN   |  TP+FP |  TP+FN | Total  |
   01   |  15400 | 375597 |   8732 |  23771 |  24132 |  39171 | 423500 |
   02   |   5892 | 394293 |   5692 |  17623 |  11584 |  23515 | 423500 |
   03   |  14606 | 377123 |  21970 |   9801 |  36576 |  24407 | 423500 |
   04   |   3745 | 391926 |    972 |  26857 |   4717 |  30602 | 423500 |
   05   |  23975 | 362398 |  16617 |  20510 |  40592 |  44485 | 423500 |
   06   |  25069 | 362655 |  12464 |  23312 |  37533 |  48381 | 423500 |
   07   |  32008 | 355342 |  13146 |  23004 |  45154 |  55012 | 423500 |
   08   |  29832 | 356738 |   8572 |  28358 |  38404 |  58190 | 423500 |
   09   |  29876 | 358519 |  13087 |  22018 |  42963 |  51894 | 423500 |
   10   |  29281 | 351456 |   7329 |  35434 |  36610 |  64715 | 423500 |
   11   |  23116 | 364958 |  10040 |  25386 |  33156 |  48502 | 423500 |
   12   |  33247 | 362186 |  12209 |  15858 |  45456 |  49105 | 423500 |
   13   |  31074 | 357318 |   6425 |  28683 |  37499 |  59757 | 423500 |
   14   |  31059 | 360267 |   7011 |  25163 |  38070 |  56222 | 423500 |
   15   |  25090 | 365924 |   4505 |  27981 |  29595 |  53071 | 423500 |
   16   |  19922 | 357019 |   1897 |  44662 |  21819 |  64584 | 423500 |
   17   |  27863 | 359892 |   8074 |  27671 |  35937 |  55534 | 423500 |
   18   |   5969 | 395547 |   1803 |  20181 |   7772 |  26150 | 423500 |
   19   |   6693 | 395531 |   1388 |  19888 |   8081 |  26581 | 423500 |
   20   |  14174 | 378675 |   2616 |  28035 |  16790 |  42209 | 423500 |


